"Link","Abstract","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124187757&doi=10.1108%2fMD-11-2020-1528&partnerID=40&md5=3ff6f2377e13ea2477ed1c6cbc9b0ce9","Purpose: This paper focuses on social innovation dynamics in extreme contexts where institutional volatility is deeply rooted and enduring. In other words, the authors focus their discussion on the challenges that social innovators are facing in their endeavor of solving wicked social problems within an extreme institutional environment. This research is guided by the following question: How does an extreme institutional environment influence social innovation processes? Design/methodology/approach: This qualitative research builds on the unique case of the Palestinian non-governmental organization (NGO) sector, a rarely studied context in organizational studies. The authors combine archival sources with 24 semi-structured interviews with Palestinian NGOs. Findings: The authors theorize three barriers that hinder social innovation in such contexts: institutional trap, effectiveness trap and sustainability trap. The authors also theorize five mechanisms through which these barriers influence each other dynamically: mingling, surviving, undermining, binding and reinforcing. Taken together, these barriers and mechanisms shed light on social innovation processes taking place within extreme institutional environments. Research limitations/implications: The main limitation of this study is the methodological design, based on an extreme single case-study which, on a bunch of features, is quite unique in the world. The authors argue that the results are all the same transferable to other relatively similar contexts. Practical implications: By theorizing the institutional barriers to social innovation in an extreme institutional context, the research thus sheds light on how social innovation could be sustained and stimulated in Palestine and other contexts that face similar institutional challenges. Social implications: From an engaged scholarship perspective, studying Palestine cannot be more relevant than today considering the turmoil in which Palestinians are. The research thus provides a deeper understanding of organizational and institutional dynamics with crucial social repercussions. Originality/value: The social innovation literature has overemphasized success stories to the detriment of the struggles that hinder social innovations in extreme institutional environments. By focusing on the barriers that social innovators experience in these contexts, the authors provide novel empirical insight. Furthermore, this study enriches the understanding of the institutional dynamics of social innovations by proposing a process model that elucidates how an extreme institutional context can influence social innovations. © 2022, Emerald Publishing Limited.","Extreme institutional environment; Fragile institutions; Palestine; Social entrepreneurship; Social innovation",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153584574&doi=10.1108%2fIJEBR-06-2022-0548&partnerID=40&md5=01778a8b879e26ff54515f9463a7c75f","Purpose: The authors address the role that income plays in allowing individuals to resist dominant institutional norms and engage in entrepreneurship. Design/methodology/approach: This is a conceptual article that develops propositions about the relationship of institutional logics and income level with opportunity entrepreneurship. Findings: The authors suggest that high-income individuals are less impacted than low-income individuals by institutional logics that do not support opportunity entrepreneurship. More specifically, the positive effects of a national business system that reflects and replicates market logics within a society have a greater impact on the proclivity to pursue opportunity entrepreneurship of low-income individuals than those with high incomes. Social implications: Policymakers addressing poverty need to understand that examining the overall societal impact of institutions is not enough. Weak institutions have a disproportionately negative impact on low-income individuals. In addition to critical resources, the accessibility of market logics is key. Originality/value: This study is the first in the entrepreneurship domain to theorize how and why institutions matter more for low-income individuals. This occurs via two mechanisms: (1) market logic accessibility and (2) the degree to which institutionalized market logics decrease opportunity cost. In so doing, this study contributes to the literature on embedded agency within the institutional logic perspective. © 2023, Emerald Publishing Limited.","Developing countries; Institutions; Opportunity",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166173539&doi=10.1108%2fNEJE-08-2022-0059&partnerID=40&md5=5c91fb30c7efd60f9f9f90d754b92f71","Purpose: In this paper, the authors suggest that Central Americans can use entrepreneurship to solve economic uncertainty in their home country and that entrepreneurship can contribute to reducing the number of undocumented migrants to the USA. Design/methodology/approach: The authors first illustrate the context of Central American illegal migration to the USA from a transitional entrepreneurship perspective, the authors address the economic drivers of illegal migration from Central America, which results in marginalization in the USA. Second, the authors build a theoretical model that suggests that Central Americans can improve their entrepreneurial abilities through the entrepreneurial cognitive adjustment mechanism. Findings: Central Americans at risk of illegally migrating to the USA have high entrepreneurial aptitudes. Entrepreneurship can help them avoid the economic uncertainty that drives Central Americans to illegally migrate to the USA and become part of a marginalized community of undocumented immigrants. This conceptual paper introduces an entrepreneurial cognitive adjustment mechanism as a tool for Central Americans to reshape their personalities and increase their entrepreneurial abilities in their home countries. In particular, entrepreneurial intentions reshape the personality characteristics of individuals (in terms of high agreeableness and openness to experiences, as well as low neuroticism) through the entrepreneurial cognitive adjustment mechanism, which consists of reflective action in sensemaking, cognitive frameworks in pattern recognition and coping in positive affect. Originality/value: This paper studies Central Americans at risk of illegal migration using the lens of transitional entrepreneurship, which advances the understanding of the antecedents to marginalized immigrant communities in the USA and suggests a possible solution for this phenomenon. Besides, the authors build a cognitive mechanism to facilitate the transitional process starting from entrepreneurial intention to reshaping individuals' personality, which further opens individuals' minds to entrepreneurial opportunities. Since entrepreneurial intention applies the same way to all entrepreneurs, the authors' aim of constructing the entrepreneurial intention unfolding process will go beyond transitional entrepreneurship and contribute to intention-action knowledge generation (Donaldson et al., 2021). Moreover, the conceptual study contributes to public policy such that international and local agencies can better utilize resources and implement long-term solutions to the drivers of illegal migration from Central America to the USA. © 2023, Jorge Arteaga-Fonseca, Yi (Elaine) Zhang and Per Bylund.","Central America; Illegal migration; Transitional entrepreneurship; Undocumented migrants",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162202767&doi=10.1016%2fj.techfore.2023.122716&partnerID=40&md5=a768f2fc5fee326e75c5f6fc698fc52e","The adoption of blockchain technology in the sustainable construction industry in India is slow. Existing literature in this area has primarily focused on the potential applications of blockchain technology in construction but little attention is given to the barriers, impeding its adoption. This study fills this research gap by identifying the most significant barriers to adopting blockchain technology for India's sustainable construction industry. The collected data were analyzed via a two-stage PLS-SEM-artificial-neural-network (ANN) predictive analytical approach. In total, 722 construction stakeholder surveys were conducted, and the final model of barriers to adopting blockchain technology for sustainable construction was statistically validated. This study's findings suggest that significant organizational, technological, cultural, legal, security and government barriers limit the adoption of blockchain technology for sustainable construction in India. These findings also imply that effective legislative processes and economic incentives are crucial for ensuring blockchain technology integration into sustainable construction and for efficient implementation of practices. As a further step, a roadmap is developed to support decision-makers in overcoming these barriers in the short, medium, and long terms. Finally, multi-tiered strategies that construction mapping, sustainability, and integration should be adopted to ensure the successful integration of BT into sustainable construction practices in India. © 2023 Elsevier Inc.","Artificial neural networks; Barriers; Blockchain technology; India; Partial least squares structural equation modeling; Sustainable construction","India; Construction industry; Decision making; Deep learning; Economic and social effects; Engineering education; Integration; Least squares approximations; Neural networks; Sustainable development; Barrier; Block-chain; Blockchain technology; India; Partial least square structural equation modeling; Partial least-squares; Roadmap; Structural equation models; Sustainable construction; Technology barriers; artificial neural network; construction industry; industrial practice; information and communication technology; least squares method; sustainability; technology adoption; Blockchain"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164965140&doi=10.1007%2fs10037-023-00192-7&partnerID=40&md5=c01af3086ff53497d1b5395a087c5980","A growing number of economic geography scholars have discussed the spatial dimensions of sustainability transitions (STs), which entail radical changes in socio-technical systems to overcome societal, economic, and ecological problems. This involves innovation processes with a broad range of distinctive actors. Innovation intermediaries, such as universities and research institutes, are needed to support and accelerate the transfer of knowledge. Nevertheless, little is known about the influence of such actors on the configuration of the knowledge bases required for STs. This article presents insights from 14 semi-structured interviews with experts conducted in a regional innovation system (RIS) in East Germany. In cooperation with the Eberswalde University for Sustainable Development, we investigate four innovation intermediaries in the region of Eberswalde. The analytical framework links the concept of differentiated knowledge bases to small wins. Our results show that, first, in the Eberswalde region, the relevant actors involved in regional knowledge transfer focus predominantly on synthetic knowledge bases, such as experience-based knowledge of local area settings. Second, symbolic knowledge bases are crucial and often prerequisites for intermediary organizations to recombine knowledge bases and support the capability to innovate in regional knowledge transfer. Symbolic knowledge entails the ability to translate scientific findings to a language that can be understood by the various actors in knowledge transfer. Third, changes in organizational structures complement changes in cultural–cognitive and normative institutions to support innovation on a systemic level and foster change processes. © 2023, The Author(s).","D02; D80; Innovation intermediation; Knowledge bases; Knowledge transfer; O12; P48; Q56; R11; Small wins; Sustainability transition",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151883010&doi=10.4324%2f9780429299681&partnerID=40&md5=c16957bd17ab9c4afafb9556e743b945","In this new edition of the popular textbook, Nonprofit Organizations: Theory, Management, Policy, Helmut K. Anheier and Stefan Toepler have fully updated, revised, and expanded this comprehensive introduction to a growing field. The text takes on an international and comparative perspective, detailing the background and concepts and examining relevant theories and central issues. Anheier and Toepler cover the full range of nonprofit organizations-service providers, membership organizations, foundations, community groups-in different fields, such as arts and culture, health and social services, and education. Introducing central terms such as philanthropy, charity, social entrepreneurship, social investment, and civil society, they explain how the field relates to public management and administration. This textbook is systematic in its approach to theories, management, and policy. The first edition won the Best Book Award at the American Academy of Management in 2006, and this new edition will continue to match the growing demand for academic teaching. Nonprofit Organizations: Theory, Management, Policy is an ideal resource for students of both undergraduate and postgraduate courses. © 2023 Helmut K. Anheier and Stefan Toepler. All rights reserved.","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165161106&doi=10.1016%2fj.evalprogplan.2023.102351&partnerID=40&md5=80668a9bfb3e3e6fd90279a4cbc795d6","The construction of a model with strategies target at the LGBTQIAP+ was performed aiming at integration of gender and sexuality conceptions in universities to promote sustainable development. We used a multicriteria analysis to identify indicators and create an evaluation model (decision tool) for sustainable universities. The decision tree includes validation through literature review of 127 publications, secondary data, LGBTQIAP+ pro-inclusion practices of international universities, and the analysis of experts around sustainable development in universities through questionnaires. The result was the development of a validated model of social and sustainable inclusion to be applied by universities in: education, research, and management. © 2023 Elsevier Ltd","Diversity; Higher education institutions; Inclusion; LGBTQIAP+; Sustainable development","gender identity; gender role; higher education; institutional framework; literature review; sexuality; social inclusion; sustainability; sustainable development; university sector; article; decision tree; education; human; human experiment; questionnaire; sustainable development; tertiary education"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124080282&doi=10.1007%2fs11301-022-00259-8&partnerID=40&md5=12c803019ff6209d53433786a336d661","Institutional innovation creates smart institutions that idiosyncratically thrive in a world of exponential change. Through policy-driven interventions and experiential learning, managers of institutions become adept at delivering praxis- and crisis-driven innovations required for survival and success. Similarly, the management of institutional innovation remains an interest in research due to links of this form of innovation to economic growth, and the demands of on-going major socioeconomic transformations due to technological advances, increased occurrences of major crises, and emerging socioeconomic challenges. Accordingly, a key question arising from the literature concerns the range of determinants and priorities that influence institutional innovation for delivering society value. Thus, the onus is on scholarship to capture and advance knowledge for harnessing the potency of institutional innovation. The purpose of this article is to analyse the current state of research on institutional innovation. Using the systematic review methodology, we identify and critically appraise 485 peer-reviewed scientific publications between 1969 and 2021. The review finds key determinants and management priorities with a view to developing a multi-level management model of institutional innovation. Guided by insights from the review, the article sets a research agenda for future management studies of institutional innovation. © 2022, The Author(s), under exclusive licence to Springer Nature Switzerland AG.","Economic conditions; Institutional change; Institutional innovation; Institutional theory; Knowledge externalities; Technology",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165558083&doi=10.4337%2f9781800881259&partnerID=40&md5=d9f2f5d10d21b442252ad85643b33fa2","Although quality assurance (QA) in higher education has been well established for many years, the world of QA is changing. This timely book takes an insightful look from a nonprofit sector perspective at how these changes are impacting accreditation of higher education institutions. Using empirical data on agencies within the European Higher Education Area (EHEA), Stefan Handke provides a thorough review of external assessments carried out by these agencies and reveals the transformation of nonprofit organisations with a public interest orientation into business-like organisations. The book further examines the negative impact on one of the most important functions of QA agencies: the creation of trust and how a change in the rules for external QA is required to alleviate this issue. Forward-thinking, the book also highlights the implications of these rule changes and the importance of them to ensure the survival of accreditation agencies. The expert analysis of the data within this book will be an invaluable resource for those working within QA agencies as well as stakeholders in higher education and researchers in the nonprofit sector. Students studying in the fields of public management and organisation studies will also find this book instructive and informative. © Stefan Handke 2023. All rights reserved.","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147507595&doi=10.1111%2fapce.12415&partnerID=40&md5=8ffa0c65d7101e3943e3139ea496c976","One of the main challenges inclusive urban entrepreneurial ecosystems (IUEEs) face is balancing their organizations' two opposing individual and cooperative activities. The closest concept in the management of dual structures is the so-called organizational ambidexterity (OA). We refer to it as “Individual–Collective Organizational Ambidexterity”. Thus, it is necessary to explore factors affecting the OA of the IUEE's organizations to benefit simultaneously from individual and collective potentials and form successfully. To do so, a model was designed by examining the factors affecting the OA capacity of the IUEE's organizations. The statistical population was organizations involved in the IUEE of 36 cities in Kermanshah province, one of the poorest provinces in IRAN (N = 2041). Thus, 328 valid responses were collected as statistical sample based on the sampling table of Krejcie and Morgan (from 1970), and through the proportional stratified sampling method. The main instrument was a questionnaire. Data were analyzed by SPSS version 26 and Smartpls3 software. The results showed among the factors studied, diversity, learning orientation, and promotion of entrepreneurial culture had a positive and significant effect on OA. Networking capacities and commitment to collaboration in the ecosystem did not significantly affect OA. OA also had a positive and significant effect on the performance of IUEE. The discussion eventually suggests the future directions of the research. The findings of this study can be used to develop IUEEs and achieve entrepreneurial cities. © 2023 Edgard Milhaud Foundation.","ecosystem performance; inclusive urban entrepreneurial ecosystem; individual-collective activities; organizational ambidexterity; socio-economic development",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138722279&doi=10.3390%2fjoitmc8030148&partnerID=40&md5=82d785d2803d4ce40f2f3e40bf2641b3","Current literature merely identifies the driving factors of research productivity in higher education institutions without directly examining their interrelationships that would offer some fundamental insights into the nature of these factors. Thus, this work intends to identify those driving factors and establish their structural relationships to determine those factors with crucial roles in advancing research productivity. Due to the subjectivity of the identified driving factors and the notion that the evaluation of their relationships reflects an expert judgment, an interpretive structural modeling (ISM) approach and the Matrice d’impacts croisés multiplication appliquée á un classment (MICMAC) analysis were adopted. Results show that institutional support, reward system, research funding, mentoring, and electronic information resources are the most crucial factors influencing research productivity. When addressed, these driving factors would motivate other driving factors, contributing to higher research productivity. In particular, these findings encourage higher education institutions to (1) efficiently allocate research funds and design mentoring programs, (2) offer efficient research incentive schemes, (3) develop initiatives that would support promising research proposals beneficial to the institution, and (4) collaborate with external organizations to grant funding for research proposals. These results contribute significantly to the literature as it provides meaningful insights that aid decision-makers in higher education institutions in resource allocation decisions, policy-making, and the design of efficient initiatives for augmenting their innovation potential. © 2022 by the authors.","driving factors; higher education institutions; interpretive structural modeling; MICMAC analysis; research productivity",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129163273&doi=10.1108%2fCCSM-11-2021-0204&partnerID=40&md5=379763aeb35d6253cd5e663d94a6b9f9","Purpose: International entrepreneurship (IE) has received a considerable amount of attention in the recent decades as a result of globalization enabling access to new international markets and business opportunities. Despite the growing increase in academic publications, IE still faces certain inconsistencies, with doubts remaining as regards its boundaries and the thematic groups making up the field. The purpose of this article is to systematically analyse the IE, mapping the intellectual territory and the evolution of the field. Design/methodology/approach: Indexed to Web of Science(WoS) database until 2021, from 52 journals, 130 articles were selected, applying content analyses techniques to identify the main research lines. Findings: The results reveal that IE presents four conceptual themes/clusters: (1) international business networks and opportunities; (2) institutional environments; (3) the characteristics and motivations of entrepreneurs; and (4) internationalisation drivers and processes. Extant analysis show that IE has progressed immensely, concentrating a good diversity of subtopics and research trends. An integrative framework bringing together 27 years of publications and 67 future research lines, detailed by cluster, were also presented in this study to improve understanding and guide future studies. Originality/value: This review makes a broad contribution to the IE literature, assisting in consolidating the academic field, expanding and complementing the results of previous theoretical–conceptual studies. We reflect and individually discuss the state of the art of the four streams that characterize IE to identify key themes, points of convergence and advance new subfields. © 2022, Emerald Publishing Limited.","International business; International entrepreneurship; Internationalisation; Systematic literature review",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130899902&doi=10.1108%2fITP-01-2021-0041&partnerID=40&md5=509592458c13c1490d90b472a059a4d3","Purpose: The need for accelerating innovation is exacerbated as organizations struggle to either adapt or perish in this unforgiving condition due to the COVID-19 disruption. To address this issue, many organizations have embraced employee-driven participatory innovation to survive and thrive albeit the uncertainties. This study aims to investigate the role of enterprise social media (ESM) in supporting and facilitating these efforts. Design/methodology/approach: This study first identified the underlying mechanisms that allow ESM use to foster and maintain participatory innovation and then reexamined how these mechanisms played out during the COVID-19 lockdown restrictions. The data was collected through a questionnaire in two phases, before and during work-from-home mandates, and the results were analyzed and compared to capture similarities and differences. Findings: The results revealed that innovation culture and management support mediated the effects of ESM use on three measures of innovation productivity in both conditions. Interestingly, the effect of ESM use was more prominent in driving innovation in the work-from-home condition. This effect was not limited to the direct effect of ESM use on innovation productivity but on innovation culture and management support as well. Originality/value: The results suggest that ESM offer a potentially useful path to support and enable employees to participate in the innovation processes, especially when they work remotely or in a distributed team. More generally, this paper should be of interest to researchers and practitioners interested in understanding, implementing and evaluating enterprise social software applications and encouraging employee-driven participatory innovation. © 2022, Emerald Publishing Limited.","Innovation; Knowledge discovery; Organizational culture; Social media; Social networking",""
